key,food_type,value,relevant,Correction,measurement,
cold brew coffee almond milk,b,344,Y,,n,
roast beef swiss sandwich chips,f,162,N,,n,
iced coffee superfood creamer tbs,b,108,n,iced coffee superfood creamer tbs maple syrup,y,tbs
coffee superfood creamer tbs maple,b,108,n,iced coffee superfood creamer tbs maple syrup,y,tbs
superfood creamer tbs maple syrup,b,108,n,iced coffee superfood creamer tbs maple syrup,y,tbs
iced coffee cream maple syrup,b,82,Y,,n,
coconut water thorne protein powder,b,82,Y,,n,scoop
water thorne protein powder scoop,b,82,N,,y,
ginko biloba lisinopril pepcid claritin,m,60,n,,n,
black coffee tbsp brain oct,b,56,y,,y,tbsp
gnc multi vit sport glucosamine,m,51,n,,n,
gf organic granola fruit chia,f,50,n,,n,
biloba lisinopril pepcid claritin flonase,m,50,n,,n,
red rice yeast pills black,m,45,n,,n,
rice yeast pills black seed,m,45,n,,n,
yeast pills black seed oil,m,45,n,,n,
thorne protein powder scoop coconut,b,36,y,,y,scoop
protein powder scoop coconut water,b,36,y,,y,scoop
oatmeal raisin walnut almond p,f,35,n,,n,
eggs sourdough toast ounce mocha,f,34,n,,n,
protein shake almond milk banana,f,33,y,,n,
cup coffee alm milk cream,b,31,y,,y,cup
oatmeal peanut butter chia seeds,f,31,y,,n,
fried eggs sourdough toast ounce,f,30,n,,y,ounce
ginger cayenne spinach smoothie strawberries,f,30,n,,n,
metphormen hydrochlorothiazide omoeprozoel losartan aspirin,m,30,,,n,
cayenne spinach smoothie strawberries banana,f,29,,,n,
iced coffee maple syrup cream,b,28,,,n,
fish oil calcium magnesium multivitamin,m,28,,,n,
oil calcium magnesium multivitamin probiotic,m,27,,,n,
zero cal monster energy drink,f,25,,,n,
oatmeal peanut butter blue berries,f,24,,,n,
mint moose tracks ice cream,f,23,y,,n,
whole g oatmeal almonds raisins,f,23,y,,n,
coffee raw sugar half half,b,22,y,,n,
small cup coffee almond crea,b,21,y,,y,cup
chips roast beef swiss sandwich,f,19,n,,n,
glucosamine chondroitin ocuvite multivitamins fiber,f,19,n,,n,
glucosamine fish oil daily multivitamin,m,19,n,,n,
fish oil daily multivitamin lipitor,m,19,n,,n,
slice whole grain bread slice,f,18,y,,y,slice
meat rice egg cheese bowl,f,17,n,,y,bowl
gf oatmeal fruit chia seeds,f,17,n,,n,
calcium glucosamine fish oil lipitor,m,17,n,,n,
black coffee heavy whipping cream,b,17,y,,n,
iced coffee laird creamer tablespoon,b,16,y,iced coffee laird creamer tablespoon maple syrup,y,tablespoon
coffee laird creamer tablespoon maple,b,16,y,iced coffee laird creamer tablespoon maple syrup,y,tablespoon
laird creamer tablespoon maple syrup,b,16,y,iced coffee laird creamer tablespoon maple syrup,y,tablespoon
tylenol calcium glucosamine fish oil,m,16,n,,n,
peanut butter chia seeds banana,f,16,n,,n,
chia seeds banana hemp seeds,f,16,n,,n,
whole wheat english muffin hummus,f,15,n,,n,
coffee tblsp grass fed butter,b,15,y,,y,tblsp
butter chia seeds banana hemp,f,15,n,,n,
seeds banana hemp seeds blueberrys,f,15,n,,n,
peanut butter blue berries banana,f,14,n,,n,
cup hot coffee teaspoon coconut,b,13,n,cup hot coffee teaspoon coconut oil,y,teaspoon
hot coffee teaspoon coconut oil,b,13,n,cup hot coffee teaspoon coconut oil,y,teaspoon
metphormen hydrochlorothiazide omoeprozoel losartan jardiance,m,13,n,,,
hydrochlorothiazide omoeprozoel losartan jardiance aspirin,m,13,n,,,
grain bread slice bread honey,f,13,y,,y,slice
psyllium tbspn flax seed crushed,f,13,n,,y,tbspn
tbspn flax seed crushed tbspn,f,13,n,,y,tbspn
dried cranberries dried blueberries oatmeal,f,13,y,,,
walnuts almonds dried cranberries dried,f,13,n,,,
rice egg cheese bowl avocado,f,12,n,,,
potato bread toast ounce mocha,f,12,n,,y ounce,
sourdough toast butter ounce mocha,f,12,n,,,
organic coffee honey almond organic,b,12,n,,,
vegan taco salad vegan oatmeal,f,12,n,,,
taco salad vegan oatmeal cookie,f,12,n,,,
whole grain bread slice bread,f,12,n,,,
eggs yolk slice whole grain,f,12,n,,,
yolk slice whole grain bread,f,12,n,,,
honey nut cheerios lactaid mlk,f,12,y,,,
bell pepper sweet potatoes beets,f,12,n,,,
third cup oats tbspn chia,f,12,n,third cup oats tbspn chia seed,y,"third cup, tbspn"
cup oats tbspn chia seed,f,12,n,third cup oats tbspn chia seed,y,"third cup, tbspn"
almonds walnuts cranberries oatmeal dried,f,12,n,,,
walnuts cranberries oatmeal dried mango,f,12,n,,,
almonds dried cranberries dried blueberries,f,12,n,,,
egg bacon cheese bagel turkey,f,11,n,,,
egg cheese bowl avocado salsa,f,11,n,,,
fried eggs potato bread toast,f,11,n,,,
eggs potato bread toast ounce,f,11,n,,,
red rice yeast pills turmeric,m,11,n,,,
kirkland soft chewy granola bar,f,11,y,,,
coffee half half raw sugar,b,11,y,,,
tomato garlic avocado bell pepper,f,11,n,,,
garlic avocado bell pepper sweet,f,11,n,,,
avocado bell pepper sweet potatoes,f,11,n,,,
tuna salad gluten free crackers,f,11,n,,,
glucosamine fish oil lipitor daily,m,11,n,,,
fish oil lipitor daily multivitamin,m,11,n,,,
bison black beans rice spinach,f,11,n,,,
peanut butter oatmeal maple syrup,f,11,n,,,
cheese bowl avocado salsa hash,f,10,n,,,
bowl avocado salsa hash browns,f,10,n,,,
egg cheese turkey bagel bacon,f,10,n,,,
lisinopril pepcid claritin ginko biloba,m,10,n,,,
pepcid claritin ginko biloba flonase,m,10,n,,,
coq red rice yeast vit,f,10,n,,,
calcium glucosamine fish oil daily,m,10,n,,,
mct oil tbsp almond milk,b,10,n,,y,tbsp
oil tbsp almond milk unsweetened,b,10,n,,y,tbsp
oatmeal peanut butter maple syrup,f,10,n,,,
peanut butter chia seeds maple,f,10,n,,,
butter chia seeds maple syrup,f,10,n,,,
organic coffee honey almond milk,b,1,y,,,